id,img
BT9-026,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-026.png
BT9-027,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-027.png
BT9-028,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-028.png
BT9-029,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-029.png
BT9-030,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-030.png
BT9-031,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-031.png
BT9-032,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-032.png
BT9-033,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-033.png
BT9-034,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-034.png
BT9-035,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-035.png
BT9-036,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-036.png
BT9-037,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-037.png
BT9-038,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-038.png
BT9-038_b,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-038_b.png
BT9-039,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-039.png
BT9-040,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-040.png
BT9-041,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-041.png
BT9-042,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-042.png
BT9-043,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-043.png
BT9-044,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-044.png
BT9-045,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-045.png
BT9-046,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-046.png
BT9-047,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-047.png
BT9-048,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-048.png
BT9-049,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-049.png
BT9-050,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-050.png
BT9-051,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-051.png
BT9-052,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-052.png
BT9-053,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-053.png
BT9-053_b,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-053_b.png
BT9-054,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-054.png
BT9-055,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-055.png
BT9-056,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-056.png
BT9-057,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-057.png
BT9-058,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-058.png
BT9-059,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-059.png
BT9-060,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-060.png
BT9-061,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-061.png
BT9-062,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-062.png
BT9-063,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-063.png
BT9-064,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-064.png
BT9-065,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-065.png
BT9-066,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-066.png
BT9-067,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-067.png
BT9-068,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-068.png
BT9-069,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-069.png
BT9-070,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-070.png
BT9-070_b,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-070_b.png
BT9-071,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-071.png
BT9-072,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-072.png
BT9-073,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-073.png
BT9-074,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-074.png
BT9-075,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-075.png
BT9-076,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-076.png
BT9-077,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-077.png
BT9-078,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-078.png
BT9-079,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-079.png
BT9-080,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-080.png
BT9-081,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-081.png
BT9-082,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-082.png
BT9-083,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-083.png
BT9-084,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-084.png
BT9-085,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-085.png
BT9-086,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-086.png
BT9-087,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-087.png
BT9-088,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-088.png
BT9-089,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-089.png
BT9-090,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-090.png
BT9-090_SPR,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-090_SPR.png
BT9-091,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-091.png
